PERMNO,date,TICKER,PRC,RETX
10107,10/14/2013,MSFT,34.45000,0.009376
10107,10/15/2013,MSFT,34.49000,0.001161
10107,10/16/2013,MSFT,34.64000,0.004349
10107,10/17/2013,MSFT,34.92000,0.008083
10107,10/18/2013,MSFT,34.96000,0.001146
10107,10/21/2013,MSFT,34.99000,0.000858
10107,10/22/2013,MSFT,34.58000,-0.011718
10107,10/23/2013,MSFT,33.76000,-0.023713
10107,10/24/2013,MSFT,33.72000,-0.001185
10107,10/25/2013,MSFT,35.73000,0.059608
10107,10/28/2013,MSFT,35.57000,-0.004478
10107,10/29/2013,MSFT,35.52000,-0.001406
10107,10/30/2013,MSFT,35.54000,0.000563
10107,10/31/2013,MSFT,35.40500,-0.003799
10107,11/01/2013,MSFT,35.52500,0.003389
10107,11/04/2013,MSFT,35.94000,0.011682
10107,11/05/2013,MSFT,36.64000,0.019477
10107,11/06/2013,MSFT,38.18000,0.042031
10107,11/07/2013,MSFT,37.50000,-0.017810
10107,11/08/2013,MSFT,37.78000,0.007467
10107,11/11/2013,MSFT,37.59000,-0.005029
10107,11/12/2013,MSFT,37.36000,-0.006119
10107,11/13/2013,MSFT,38.15500,0.021279
10107,11/14/2013,MSFT,38.02100,-0.003512
10107,11/15/2013,MSFT,37.84100,-0.004734
10107,11/18/2013,MSFT,37.20000,-0.016939
10107,11/19/2013,MSFT,36.74000,-0.012366
10107,11/20/2013,MSFT,37.08000,0.009254
10107,11/21/2013,MSFT,37.40000,0.008630
10107,11/22/2013,MSFT,37.57000,0.004545
10107,11/25/2013,MSFT,37.64000,0.001863
10107,11/26/2013,MSFT,37.35000,-0.007705
10107,11/27/2013,MSFT,37.60000,0.006693
10107,11/29/2013,MSFT,38.13000,0.014096
10107,12/02/2013,MSFT,38.45000,0.008392
10107,12/03/2013,MSFT,38.31000,-0.003641
10107,12/04/2013,MSFT,38.94000,0.016445
10107,12/05/2013,MSFT,38.00000,-0.024140
10107,12/06/2013,MSFT,38.36000,0.009474
10107,12/09/2013,MSFT,38.70500,0.008994
10107,12/10/2013,MSFT,38.11000,-0.015373
10107,12/11/2013,MSFT,37.61000,-0.013120
10107,12/12/2013,MSFT,37.22000,-0.010370
