secid,date,days,volatility,index_flag
143439,7/8/18,1825,0.438374,0
143439,8/8/18,10,1.033227,0
143439,8/8/18,14,0.967486,0
143439,8/8/18,30,0.709177,0
143439,8/8/18,60,0.623151,0
143439,8/8/18,91,0.56937,0
143439,8/8/18,122,0.531829,0
143439,8/8/18,152,0.569119,0
143439,8/8/18,182,0.54846,0
143439,8/8/18,273,0.482366,0
143439,8/8/18,365,0.449002,0
143439,8/8/18,547,0.430997,0
143439,8/8/18,730,0.399529,0
143439,8/8/18,1825,0.438517,0
143439,9/8/18,10,1.087718,0
143439,9/8/18,14,1.020681,0
143439,9/8/18,30,0.733898,0
143439,9/8/18,60,0.628996,0
143439,9/8/18,91,0.578735,0
143439,9/8/18,122,0.535882,0
143439,9/8/18,152,0.57177,0
143439,9/8/18,182,0.537787,0
143439,9/8/18,273,0.485884,0
143439,9/8/18,365,0.451708,0
143439,9/8/18,547,0.432742,0
143439,9/8/18,730,0.401032,0
143439,9/8/18,1825,0.438918,0
143439,10/8/18,10,1.090963,0
143439,10/8/18,14,0.990295,0
143439,10/8/18,30,0.732087,0
143439,10/8/18,60,0.62055,0
143439,10/8/18,91,0.578019,0
143439,10/8/18,122,0.529433,0
143439,10/8/18,152,0.569195,0
143439,10/8/18,182,0.537394,0
143439,10/8/18,273,0.485967,0
143439,10/8/18,365,0.451225,0
143439,10/8/18,547,0.432265,0
143439,10/8/18,730,0.40091,0
143439,10/8/18,1825,0.438758,0
143439,13/08/2018,10,0.847085,0
143439,13/08/2018,14,0.967685,0
143439,13/08/2018,30,0.748947,0
143439,13/08/2018,60,0.62449,0
143439,13/08/2018,91,0.574046,0
143439,13/08/2018,122,0.532378,0
143439,13/08/2018,152,0.563654,0
143439,13/08/2018,182,0.536921,0
143439,13/08/2018,273,0.483804,0
143439,13/08/2018,365,0.451179,0
143439,13/08/2018,547,0.432267,0
143439,13/08/2018,730,0.401297,0
143439,13/08/2018,1825,0.438302,0
143439,14/08/2018,10,0.792368,0
143439,14/08/2018,14,0.992749,0
143439,14/08/2018,30,0.738016,0
143439,14/08/2018,60,0.627498,0
143439,14/08/2018,91,0.573606,0
143439,14/08/2018,122,0.53123,0
143439,14/08/2018,152,0.565033,0
143439,14/08/2018,182,0.537074,0
143439,14/08/2018,273,0.484034,0
143439,14/08/2018,365,0.45156,0
143439,14/08/2018,547,0.431491,0
143439,14/08/2018,730,0.401313,0
143439,14/08/2018,1825,0.438452,0
143439,15/08/2018,10,0.747815,0
143439,15/08/2018,14,1.014427,0
143439,15/08/2018,30,0.737106,0
143439,15/08/2018,60,0.622902,0
143439,15/08/2018,91,0.576488,0
143439,15/08/2018,122,0.530236,0
143439,15/08/2018,152,0.566152,0
143439,15/08/2018,182,0.538356,0
143439,15/08/2018,273,0.484939,0
143439,15/08/2018,365,0.452286,0
143439,15/08/2018,547,0.432038,0
143439,15/08/2018,730,0.401765,0
143439,15/08/2018,1825,0.438558,0
143439,16/08/2018,10,0.743477,0
143439,16/08/2018,14,0.660228,0
143439,16/08/2018,30,0.727221,0
143439,16/08/2018,60,0.615768,0
143439,16/08/2018,91,0.576703,0
143439,16/08/2018,122,0.527643,0
143439,16/08/2018,152,0.563665,0
143439,16/08/2018,182,0.536158,0
143439,16/08/2018,273,0.485063,0
143439,16/08/2018,365,0.452379,0
143439,16/08/2018,547,0.432099,0
143439,16/08/2018,730,0.401775,0
143439,16/08/2018,1825,0.438408,0
143439,17/08/2018,10,0.515686,0
143439,17/08/2018,14,0.798281,0
143439,17/08/2018,30,0.795374,0
143439,17/08/2018,60,0.647896,0
143439,17/08/2018,91,0.60513,0
143439,17/08/2018,122,0.551784,0
143439,17/08/2018,152,0.579223,0
143439,17/08/2018,182,0.552198,0
143439,17/08/2018,273,0.497068,0
143439,17/08/2018,365,0.460894,0
143439,17/08/2018,547,0.437662,0
143439,17/08/2018,730,0.40727,0
143439,17/08/2018,1825,0.440255,0
143439,20/08/2018,10,0.588821,0
143439,20/08/2018,14,0.805512,0
143439,20/08/2018,30,0.812435,0
143439,20/08/2018,60,0.642738,0
143439,20/08/2018,91,0.603096,0
143439,20/08/2018,122,0.553158,0
143439,20/08/2018,152,0.582795,0
143439,20/08/2018,182,0.550194,0
143439,20/08/2018,273,0.496641,0
143439,20/08/2018,365,0.460842,0
143439,20/08/2018,547,0.437621,0
143439,20/08/2018,730,0.407703,0
143439,20/08/2018,1825,0.44028,0
143439,21/08/2018,10,0.668976,0
143439,21/08/2018,14,0.591094,0
143439,21/08/2018,30,0.806408,0
143439,21/08/2018,60,0.645079,0
143439,21/08/2018,91,0.604396,0
143439,21/08/2018,122,0.554589,0
143439,21/08/2018,152,0.585389,0
143439,21/08/2018,182,0.55357,0
143439,21/08/2018,273,0.497984,0
143439,21/08/2018,365,0.462024,0
143439,21/08/2018,547,0.438406,0
143439,21/08/2018,730,0.408383,0
143439,21/08/2018,1825,0.439864,0
143439,22/08/2018,10,0.623882,0
143439,22/08/2018,14,0.593993,0
143439,22/08/2018,30,0.79698,0
143439,22/08/2018,60,0.637164,0
143439,22/08/2018,91,0.603923,0
143439,22/08/2018,122,0.551328,0
143439,22/08/2018,152,0.584071,0
143439,22/08/2018,182,0.55354,0
143439,22/08/2018,273,0.497608,0
143439,22/08/2018,365,0.461905,0
143439,22/08/2018,547,0.438151,0
143439,22/08/2018,730,0.408324,0
143439,22/08/2018,1825,0.43967,0
143439,23/08/2018,10,0.618807,0
143439,23/08/2018,14,0.560834,0
143439,23/08/2018,30,0.793714,0
143439,23/08/2018,60,0.629605,0
143439,23/08/2018,91,0.603942,0
143439,23/08/2018,122,0.54971,0
143439,23/08/2018,152,0.581343,0
143439,23/08/2018,182,0.550913,0
143439,23/08/2018,273,0.496309,0
143439,23/08/2018,365,0.460726,0
143439,23/08/2018,547,0.438012,0
143439,23/08/2018,730,0.408305,0
143439,23/08/2018,1825,0.439502,0
143439,24/08/2018,10,0.624833,0
143439,24/08/2018,14,0.560719,0
143439,24/08/2018,30,0.784848,0
143439,24/08/2018,60,0.630012,0
143439,24/08/2018,91,0.604065,0
143439,24/08/2018,122,0.549838,0
143439,24/08/2018,152,0.578721,0
143439,24/08/2018,182,0.550509,0
143439,24/08/2018,273,0.496286,0
143439,24/08/2018,365,0.46081,0
143439,24/08/2018,547,0.43466,0
143439,24/08/2018,730,0.408272,0
143439,24/08/2018,1825,0.439342,0
143439,27/08/2018,10,0.302016,0
143439,27/08/2018,14,0.556558,0
143439,27/08/2018,30,0.795865,0
143439,27/08/2018,60,0.64034,0
143439,27/08/2018,91,0.599839,0
143439,27/08/2018,122,0.553622,0
143439,27/08/2018,152,0.554334,0
143439,27/08/2018,182,0.55024,0
143439,27/08/2018,273,0.496434,0
143439,27/08/2018,365,0.460735,0
143439,27/08/2018,547,0.434755,0
143439,27/08/2018,730,0.408706,0
143439,27/08/2018,1825,0.439612,0
143439,28/08/2018,10,0.332009,0
143439,28/08/2018,14,0.555602,0
143439,28/08/2018,30,0.782001,0
143439,28/08/2018,60,0.640981,0
143439,28/08/2018,91,0.601151,0
143439,28/08/2018,122,0.551926,0
143439,28/08/2018,152,0.553747,0
143439,28/08/2018,182,0.550625,0
143439,28/08/2018,273,0.497173,0
143439,28/08/2018,365,0.46127,0
143439,28/08/2018,547,0.433754,0
143439,28/08/2018,730,0.408659,0
143439,28/08/2018,1825,0.439742,0
143439,29/08/2018,10,0.338249,0
143439,29/08/2018,14,0.552965,0
143439,29/08/2018,30,0.781356,0
143439,29/08/2018,60,0.634988,0
143439,29/08/2018,91,0.600606,0
143439,29/08/2018,122,0.550069,0
143439,29/08/2018,152,0.552316,0
143439,29/08/2018,182,0.550575,0
143439,29/08/2018,273,0.496452,0
143439,29/08/2018,365,0.461753,0
143439,29/08/2018,547,0.43399,0
143439,29/08/2018,730,0.408664,0
143439,29/08/2018,1825,0.439793,0
143439,30/08/2018,10,0.33335,0
143439,30/08/2018,14,0.553396,0
143439,30/08/2018,30,0.776764,0
143439,30/08/2018,60,0.627435,0
143439,30/08/2018,91,0.598667,0
143439,30/08/2018,122,0.55018,0
143439,30/08/2018,152,0.549822,0
143439,30/08/2018,182,0.548372,0
143439,30/08/2018,273,0.496476,0
143439,30/08/2018,365,0.461466,0
143439,30/08/2018,547,0.434023,0
143439,30/08/2018,730,0.408476,0
143439,30/08/2018,1825,0.439628,0
143439,31/08/2018,10,0.169367,0
143439,31/08/2018,14,0.30046,0
143439,31/08/2018,30,0.776418,0
143439,31/08/2018,60,0.625429,0
143439,31/08/2018,91,0.596872,0
143439,31/08/2018,122,0.549166,0
143439,31/08/2018,152,0.547327,0
143439,31/08/2018,182,0.548079,0
143439,31/08/2018,273,0.496433,0
143439,31/08/2018,365,0.461411,0
143439,31/08/2018,547,0.434044,0
143439,31/08/2018,730,0.408492,0
143439,31/08/2018,1825,0.43946,0
143439,4/9/18,10,0.228294,0
143439,4/9/18,14,0.243436,0
143439,4/9/18,30,0.592975,0
143439,4/9/18,60,0.622653,0
143439,4/9/18,91,0.605792,0
143439,4/9/18,122,0.548781,0
143439,4/9/18,152,0.525843,0
143439,4/9/18,182,0.553083,0
143439,4/9/18,273,0.500207,0
143439,4/9/18,365,0.463354,0
143439,4/9/18,547,0.436057,0
143439,4/9/18,730,0.408051,0
143439,4/9/18,1825,0.440215,0
143439,5/9/18,10,0.21746,0
143439,5/9/18,14,0.247967,0
143439,5/9/18,30,0.596267,0
