date,office_unscaled,office_monthly,isPartial,scale,office
2011-01-22,66,86.0,,0.86,56.76
2011-01-23,53,86.0,,0.86,45.58
2011-01-24,95,86.0,,0.86,81.7
2011-01-25,91,86.0,,0.86,78.26
2011-01-26,93,86.0,,0.86,79.98
2011-01-27,92,86.0,,0.86,79.12
2011-01-28,98,86.0,,0.86,84.28
2011-01-29,70,86.0,,0.86,60.199999999999996
2011-01-30,59,86.0,,0.86,50.74
2011-01-31,95,86.0,,0.86,81.7
2011-02-01,98,81.0,False,0.81,79.38000000000001
2011-02-02,93,81.0,,0.81,75.33
2011-02-03,97,81.0,,0.81,78.57000000000001
2011-02-04,96,81.0,,0.81,77.76
2011-02-05,73,81.0,,0.81,59.13
2011-02-06,56,81.0,,0.81,45.36
2011-02-07,97,81.0,,0.81,78.57000000000001
2011-02-08,97,81.0,,0.81,78.57000000000001
2011-02-09,97,81.0,,0.81,78.57000000000001
2011-02-10,94,81.0,,0.81,76.14
2011-02-11,96,81.0,,0.81,77.76
2011-02-12,73,81.0,,0.81,59.13
2011-02-13,60,81.0,,0.81,48.6
2011-02-14,97,81.0,,0.81,78.57000000000001
2011-02-15,98,81.0,,0.81,79.38000000000001
2011-02-16,93,81.0,,0.81,75.33
2011-02-17,94,81.0,,0.81,76.14
2011-02-18,97,81.0,,0.81,78.57000000000001
2011-02-19,72,81.0,,0.81,58.32000000000001
2011-02-20,61,81.0,,0.81,49.410000000000004
2011-02-21,92,81.0,,0.81,74.52000000000001
2011-02-22,100,81.0,,0.81,81.0
2011-02-23,99,81.0,,0.81,80.19000000000001
2011-02-24,95,81.0,,0.81,76.95
2011-02-25,94,81.0,,0.81,76.14
2011-02-26,71,81.0,,0.81,57.510000000000005
2011-02-27,59,81.0,,0.81,47.790000000000006
2011-02-28,99,81.0,,0.81,80.19000000000001
2011-03-01,93,81.0,False,0.81,75.33
2011-03-02,91,81.0,,0.81,73.71000000000001
2011-03-03,90,81.0,,0.81,72.9
2011-03-04,93,81.0,,0.81,75.33
2011-03-05,68,81.0,,0.81,55.080000000000005
2011-03-06,55,81.0,,0.81,44.550000000000004
2011-03-07,96,81.0,,0.81,77.76
2011-03-08,95,81.0,,0.81,76.95
2011-03-09,86,81.0,,0.81,69.66000000000001
2011-03-10,90,81.0,,0.81,72.9
2011-03-11,83,81.0,,0.81,67.23
2011-03-12,60,81.0,,0.81,48.6
2011-03-13,48,81.0,,0.81,38.88
2011-03-14,91,81.0,,0.81,73.71000000000001
2011-03-15,92,81.0,,0.81,74.52000000000001
2011-03-16,88,81.0,,0.81,71.28
2011-03-17,84,81.0,,0.81,68.04
2011-03-18,86,81.0,,0.81,69.66000000000001
2011-03-19,61,81.0,,0.81,49.410000000000004
2011-03-20,52,81.0,,0.81,42.120000000000005
2011-03-21,91,81.0,,0.81,73.71000000000001
2011-03-22,93,81.0,,0.81,75.33
2011-03-23,88,81.0,,0.81,71.28
2011-03-24,89,81.0,,0.81,72.09
2011-03-25,100,81.0,,0.81,81.0
2011-03-26,67,81.0,,0.81,54.27
2011-03-27,58,81.0,,0.81,46.980000000000004
2011-03-28,96,81.0,,0.81,77.76
2011-03-29,93,81.0,,0.81,75.33
2011-03-30,91,81.0,,0.81,73.71000000000001
2011-03-31,91,81.0,,0.81,73.71000000000001
2011-04-01,83,80.0,False,0.8,66.4
2011-04-02,54,80.0,,0.8,43.2
2011-04-03,48,80.0,,0.8,38.400000000000006
2011-04-04,84,80.0,,0.8,67.2
2011-04-05,80,80.0,,0.8,64.0
2011-04-06,78,80.0,,0.8,62.400000000000006
2011-04-07,77,80.0,,0.8,61.6
2011-04-08,80,80.0,,0.8,64.0
2011-04-09,56,80.0,,0.8,44.800000000000004
2011-04-10,47,80.0,,0.8,37.6
2011-04-11,86,80.0,,0.8,68.8
2011-04-12,80,80.0,,0.8,64.0
2011-04-13,79,80.0,,0.8,63.2
2011-04-14,80,80.0,,0.8,64.0
2011-04-15,92,80.0,,0.8,73.60000000000001
2011-04-16,63,80.0,,0.8,50.400000000000006
2011-04-17,51,80.0,,0.8,40.800000000000004
2011-04-18,100,80.0,,0.8,80.0
2011-04-19,85,80.0,,0.8,68.0
2011-04-20,76,80.0,,0.8,60.800000000000004
2011-04-21,75,80.0,,0.8,60.0
2011-04-22,82,80.0,,0.8,65.60000000000001
2011-04-23,55,80.0,,0.8,44.0
2011-04-24,44,80.0,,0.8,35.2
2011-04-25,81,80.0,,0.8,64.8
2011-04-26,78,80.0,,0.8,62.400000000000006
2011-04-27,75,80.0,,0.8,60.0
2011-04-28,75,80.0,,0.8,60.0
2011-04-29,86,80.0,,0.8,68.8
2011-04-30,59,80.0,,0.8,47.2
2011-05-01,55,79.0,False,0.79,43.45
2011-05-02,92,79.0,,0.79,72.68
2011-05-03,89,79.0,,0.79,70.31
2011-05-04,89,79.0,,0.79,70.31
2011-05-05,89,79.0,,0.79,70.31
2011-05-06,93,79.0,,0.79,73.47
2011-05-07,59,79.0,,0.79,46.61
2011-05-08,52,79.0,,0.79,41.08
2011-05-09,94,79.0,,0.79,74.26
2011-05-10,92,79.0,,0.79,72.68
2011-05-11,90,79.0,,0.79,71.10000000000001
2011-05-12,87,79.0,,0.79,68.73
2011-05-13,89,79.0,,0.79,70.31
2011-05-14,64,79.0,,0.79,50.56
2011-05-15,54,79.0,,0.79,42.660000000000004
2011-05-16,94,79.0,,0.79,74.26
2011-05-17,91,79.0,,0.79,71.89
2011-05-18,90,79.0,,0.79,71.10000000000001
2011-05-19,91,79.0,,0.79,71.89
2011-05-20,100,79.0,,0.79,79.0
2011-05-21,64,79.0,,0.79,50.56
2011-05-22,58,79.0,,0.79,45.82
2011-05-23,96,79.0,,0.79,75.84
2011-05-24,94,79.0,,0.79,74.26
2011-05-25,88,79.0,,0.79,69.52000000000001
2011-05-26,86,79.0,,0.79,67.94
2011-05-27,87,79.0,,0.79,68.73
2011-05-28,59,79.0,,0.79,46.61
2011-05-29,48,79.0,,0.79,37.92
2011-05-30,57,79.0,,0.79,45.03
2011-05-31,99,79.0,,0.79,78.21000000000001
2011-06-01,97,77.0,False,0.77,74.69
2011-06-02,92,77.0,,0.77,70.84
2011-06-03,94,77.0,,0.77,72.38
2011-06-04,61,77.0,,0.77,46.97
2011-06-05,55,77.0,,0.77,42.35
2011-06-06,97,77.0,,0.77,74.69
2011-06-07,94,77.0,,0.77,72.38
2011-06-08,92,77.0,,0.77,70.84
2011-06-09,89,77.0,,0.77,68.53
2011-06-10,86,77.0,,0.77,66.22
2011-06-11,60,77.0,,0.77,46.2
2011-06-12,55,77.0,,0.77,42.35
2011-06-13,98,77.0,,0.77,75.46000000000001
2011-06-14,93,77.0,,0.77,71.61
2011-06-15,96,77.0,,0.77,73.92
2011-06-16,90,77.0,,0.77,69.3
2011-06-17,89,77.0,,0.77,68.53
2011-06-18,62,77.0,,0.77,47.74
2011-06-19,50,77.0,,0.77,38.5
2011-06-20,95,77.0,,0.77,73.15
2011-06-21,92,77.0,,0.77,70.84
2011-06-22,90,77.0,,0.77,69.3
2011-06-23,88,77.0,,0.77,67.76
2011-06-24,88,77.0,,0.77,67.76
2011-06-25,61,77.0,,0.77,46.97
2011-06-26,51,77.0,,0.77,39.27
2011-06-27,97,77.0,,0.77,74.69
2011-06-28,97,77.0,,0.77,74.69
2011-06-29,100,77.0,,0.77,77.0
2011-06-30,93,77.0,,0.77,71.61
2011-07-01,81,78.0,False,0.78,63.18
2011-07-02,53,78.0,,0.78,41.34
2011-07-03,40,78.0,,0.78,31.200000000000003
2011-07-04,44,78.0,,0.78,34.32
2011-07-05,82,78.0,,0.78,63.96
2011-07-06,90,78.0,,0.78,70.2
2011-07-07,80,78.0,,0.78,62.400000000000006
2011-07-08,80,78.0,,0.78,62.400000000000006
2011-07-09,52,78.0,,0.78,40.56
2011-07-10,48,78.0,,0.78,37.44
2011-07-11,86,78.0,,0.78,67.08
2011-07-12,85,78.0,,0.78,66.3
2011-07-13,83,78.0,,0.78,64.74000000000001
2011-07-14,82,78.0,,0.78,63.96
2011-07-15,80,78.0,,0.78,62.400000000000006
2011-07-16,57,78.0,,0.78,44.46
2011-07-17,50,78.0,,0.78,39.0
2011-07-18,87,78.0,,0.78,67.86
2011-07-19,84,78.0,,0.78,65.52
2011-07-20,84,78.0,,0.78,65.52
2011-07-21,84,78.0,,0.78,65.52
2011-07-22,76,78.0,,0.78,59.28
2011-07-23,53,78.0,,0.78,41.34
2011-07-24,51,78.0,,0.78,39.78
2011-07-25,89,78.0,,0.78,69.42
2011-07-26,100,78.0,,0.78,78.0
2011-07-27,90,78.0,,0.78,70.2
2011-07-28,84,78.0,,0.78,65.52
2011-07-29,79,78.0,,0.78,61.620000000000005
2011-07-30,59,78.0,,0.78,46.02
2011-07-31,53,78.0,,0.78,41.34
2011-08-01,95,86.0,False,0.86,81.7
2011-08-02,92,86.0,,0.86,79.12
2011-08-03,90,86.0,,0.86,77.4
2011-08-04,84,86.0,,0.86,72.24
2011-08-05,85,86.0,,0.86,73.1
2011-08-06,59,86.0,,0.86,50.74
2011-08-07,55,86.0,,0.86,47.3
2011-08-08,94,86.0,,0.86,80.84
2011-08-09,89,86.0,,0.86,76.53999999999999
2011-08-10,90,86.0,,0.86,77.4
2011-08-11,87,86.0,,0.86,74.82
2011-08-12,82,86.0,,0.86,70.52
2011-08-13,59,86.0,,0.86,50.74
2011-08-14,53,86.0,,0.86,45.58
2011-08-15,94,86.0,,0.86,80.84
2011-08-16,92,86.0,,0.86,79.12
2011-08-17,90,86.0,,0.86,77.4
2011-08-18,88,86.0,,0.86,75.67999999999999
2011-08-19,85,86.0,,0.86,73.1
2011-08-20,67,86.0,,0.86,57.62
2011-08-21,60,86.0,,0.86,51.6
2011-08-22,100,86.0,,0.86,86.0
2011-08-23,90,86.0,,0.86,77.4
2011-08-24,92,86.0,,0.86,79.12
2011-08-25,86,86.0,,0.86,73.96
2011-08-26,88,86.0,,0.86,75.67999999999999
2011-08-27,58,86.0,,0.86,49.88
2011-08-28,51,86.0,,0.86,43.86
