date,vaccine_unscaled,vaccine_monthly,isPartial,scale,vaccine
2010-07-18,59,10.0,,0.1,5.9
2010-07-19,69,10.0,,0.1,6.9
2010-07-20,77,10.0,,0.1,7.7
2010-07-21,99,10.0,,0.1,9.9
2010-07-22,85,10.0,,0.1,8.5
2010-07-23,63,10.0,,0.1,6.300000000000001
2010-07-24,38,10.0,,0.1,3.8000000000000003
2010-07-25,47,10.0,,0.1,4.7
2010-07-26,61,10.0,,0.1,6.1000000000000005
2010-07-27,71,10.0,,0.1,7.1000000000000005
2010-07-28,76,10.0,,0.1,7.6000000000000005
2010-07-29,70,10.0,,0.1,7.0
2010-07-30,65,10.0,,0.1,6.5
2010-07-31,56,10.0,,0.1,5.6000000000000005
2010-08-01,46,12.0,False,0.12,5.52
2010-08-02,83,12.0,,0.12,9.959999999999999
2010-08-03,73,12.0,,0.12,8.76
2010-08-04,63,12.0,,0.12,7.56
2010-08-05,71,12.0,,0.12,8.52
2010-08-06,47,12.0,,0.12,5.64
2010-08-07,31,12.0,,0.12,3.7199999999999998
2010-08-08,48,12.0,,0.12,5.76
2010-08-09,69,12.0,,0.12,8.28
2010-08-10,74,12.0,,0.12,8.879999999999999
2010-08-11,86,12.0,,0.12,10.32
2010-08-12,73,12.0,,0.12,8.76
2010-08-13,55,12.0,,0.12,6.6
2010-08-14,72,12.0,,0.12,8.64
2010-08-15,38,12.0,,0.12,4.56
2010-08-16,87,12.0,,0.12,10.44
2010-08-17,88,12.0,,0.12,10.559999999999999
2010-08-18,62,12.0,,0.12,7.4399999999999995
2010-08-19,100,12.0,,0.12,12.0
2010-08-20,80,12.0,,0.12,9.6
2010-08-21,53,12.0,,0.12,6.359999999999999
2010-08-22,39,12.0,,0.12,4.68
2010-08-23,84,12.0,,0.12,10.08
2010-08-24,100,12.0,,0.12,12.0
2010-08-25,93,12.0,,0.12,11.16
2010-08-26,80,12.0,,0.12,9.6
2010-08-27,49,12.0,,0.12,5.88
2010-08-28,57,12.0,,0.12,6.84
2010-08-29,35,12.0,,0.12,4.2
2010-08-30,85,12.0,,0.12,10.2
2010-08-31,90,12.0,,0.12,10.799999999999999
2010-09-01,82,14.0,False,0.14,11.48
2010-09-02,57,14.0,,0.14,7.98
2010-09-03,52,14.0,,0.14,7.280000000000001
2010-09-04,30,14.0,,0.14,4.2
2010-09-05,25,14.0,,0.14,3.5000000000000004
2010-09-06,38,14.0,,0.14,5.32
2010-09-07,54,14.0,,0.14,7.5600000000000005
2010-09-08,83,14.0,,0.14,11.620000000000001
2010-09-09,73,14.0,,0.14,10.22
2010-09-10,58,14.0,,0.14,8.120000000000001
2010-09-11,45,14.0,,0.14,6.300000000000001
2010-09-12,26,14.0,,0.14,3.6400000000000006
2010-09-13,83,14.0,,0.14,11.620000000000001
2010-09-14,82,14.0,,0.14,11.48
2010-09-15,63,14.0,,0.14,8.82
2010-09-16,100,14.0,,0.14,14.000000000000002
2010-09-17,77,14.0,,0.14,10.780000000000001
2010-09-18,40,14.0,,0.14,5.6000000000000005
2010-09-19,53,14.0,,0.14,7.420000000000001
2010-09-20,59,14.0,,0.14,8.260000000000002
2010-09-21,99,14.0,,0.14,13.860000000000001
2010-09-22,87,14.0,,0.14,12.180000000000001
2010-09-23,78,14.0,,0.14,10.920000000000002
2010-09-24,66,14.0,,0.14,9.24
2010-09-25,39,14.0,,0.14,5.460000000000001
2010-09-26,43,14.0,,0.14,6.0200000000000005
2010-09-27,78,14.0,,0.14,10.920000000000002
2010-09-28,79,14.0,,0.14,11.06
2010-09-29,90,14.0,,0.14,12.600000000000001
2010-09-30,88,14.0,,0.14,12.32
2010-10-01,77,16.0,False,0.16,12.32
2010-10-02,63,16.0,,0.16,10.08
2010-10-03,40,16.0,,0.16,6.4
2010-10-04,73,16.0,,0.16,11.68
2010-10-05,93,16.0,,0.16,14.88
2010-10-06,98,16.0,,0.16,15.68
2010-10-07,71,16.0,,0.16,11.36
2010-10-08,70,16.0,,0.16,11.200000000000001
2010-10-09,67,16.0,,0.16,10.72
2010-10-10,56,16.0,,0.16,8.96
2010-10-11,76,16.0,,0.16,12.16
2010-10-12,83,16.0,,0.16,13.280000000000001
2010-10-13,73,16.0,,0.16,11.68
2010-10-14,84,16.0,,0.16,13.44
2010-10-15,76,16.0,,0.16,12.16
2010-10-16,55,16.0,,0.16,8.8
2010-10-17,44,16.0,,0.16,7.04
2010-10-18,93,16.0,,0.16,14.88
2010-10-19,80,16.0,,0.16,12.8
2010-10-20,100,16.0,,0.16,16.0
2010-10-21,80,16.0,,0.16,12.8
2010-10-22,86,16.0,,0.16,13.76
2010-10-23,43,16.0,,0.16,6.88
2010-10-24,57,16.0,,0.16,9.120000000000001
2010-10-25,66,16.0,,0.16,10.56
2010-10-26,94,16.0,,0.16,15.040000000000001
2010-10-27,71,16.0,,0.16,11.36
2010-10-28,79,16.0,,0.16,12.64
2010-10-29,66,16.0,,0.16,10.56
2010-10-30,36,16.0,,0.16,5.76
2010-10-31,41,16.0,,0.16,6.5600000000000005
2010-11-01,56,12.0,False,0.12,6.72
2010-11-02,73,12.0,,0.12,8.76
2010-11-03,86,12.0,,0.12,10.32
2010-11-04,78,12.0,,0.12,9.36
2010-11-05,94,12.0,,0.12,11.28
2010-11-06,54,12.0,,0.12,6.4799999999999995
2010-11-07,54,12.0,,0.12,6.4799999999999995
2010-11-08,75,12.0,,0.12,9.0
2010-11-09,88,12.0,,0.12,10.559999999999999
2010-11-10,79,12.0,,0.12,9.48
2010-11-11,74,12.0,,0.12,8.879999999999999
2010-11-12,75,12.0,,0.12,9.0
2010-11-13,45,12.0,,0.12,5.3999999999999995
2010-11-14,41,12.0,,0.12,4.92
2010-11-15,100,12.0,,0.12,12.0
2010-11-16,76,12.0,,0.12,9.12
2010-11-17,94,12.0,,0.12,11.28
2010-11-18,69,12.0,,0.12,8.28
2010-11-19,57,12.0,,0.12,6.84
2010-11-20,46,12.0,,0.12,5.52
2010-11-21,33,12.0,,0.12,3.96
2010-11-22,69,12.0,,0.12,8.28
2010-11-23,62,12.0,,0.12,7.4399999999999995
2010-11-24,52,12.0,,0.12,6.24
2010-11-25,24,12.0,,0.12,2.88
2010-11-26,36,12.0,,0.12,4.32
2010-11-27,35,12.0,,0.12,4.2
2010-11-28,33,12.0,,0.12,3.96
2010-11-29,62,12.0,,0.12,7.4399999999999995
2010-11-30,67,12.0,,0.12,8.04
2010-12-01,100,10.0,False,0.1,10.0
2010-12-02,95,10.0,,0.1,9.5
2010-12-03,99,10.0,,0.1,9.9
2010-12-04,60,10.0,,0.1,6.0
2010-12-05,55,10.0,,0.1,5.5
2010-12-06,99,10.0,,0.1,9.9
2010-12-07,79,10.0,,0.1,7.9
2010-12-08,75,10.0,,0.1,7.5
2010-12-09,97,10.0,,0.1,9.700000000000001
2010-12-10,79,10.0,,0.1,7.9
2010-12-11,44,10.0,,0.1,4.4
2010-12-12,55,10.0,,0.1,5.5
2010-12-13,82,10.0,,0.1,8.200000000000001
2010-12-14,87,10.0,,0.1,8.700000000000001
2010-12-15,90,10.0,,0.1,9.0
2010-12-16,74,10.0,,0.1,7.4
2010-12-17,65,10.0,,0.1,6.5
2010-12-18,60,10.0,,0.1,6.0
2010-12-19,23,10.0,,0.1,2.3000000000000003
2010-12-20,88,10.0,,0.1,8.8
2010-12-21,80,10.0,,0.1,8.0
2010-12-22,72,10.0,,0.1,7.2
2010-12-23,50,10.0,,0.1,5.0
2010-12-24,58,10.0,,0.1,5.800000000000001
2010-12-25,31,10.0,,0.1,3.1
2010-12-26,42,10.0,,0.1,4.2
2010-12-27,44,10.0,,0.1,4.4
2010-12-28,86,10.0,,0.1,8.6
2010-12-29,62,10.0,,0.1,6.2
2010-12-30,48,10.0,,0.1,4.800000000000001
2010-12-31,39,10.0,,0.1,3.9000000000000004
2011-01-01,22,12.0,False,0.12,2.6399999999999997
2011-01-02,25,12.0,,0.12,3.0
2011-01-03,43,12.0,,0.12,5.16
2011-01-04,47,12.0,,0.12,5.64
2011-01-05,60,12.0,,0.12,7.199999999999999
2011-01-06,100,12.0,,0.12,12.0
2011-01-07,70,12.0,,0.12,8.4
2011-01-08,40,12.0,,0.12,4.8
2011-01-09,31,12.0,,0.12,3.7199999999999998
2011-01-10,52,12.0,,0.12,6.24
2011-01-11,51,12.0,,0.12,6.12
2011-01-12,55,12.0,,0.12,6.6
2011-01-13,54,12.0,,0.12,6.4799999999999995
2011-01-14,48,12.0,,0.12,5.76
2011-01-15,25,12.0,,0.12,3.0
2011-01-16,43,12.0,,0.12,5.16
2011-01-17,42,12.0,,0.12,5.04
2011-01-18,63,12.0,,0.12,7.56
2011-01-19,51,12.0,,0.12,6.12
2011-01-20,55,12.0,,0.12,6.6
2011-01-21,56,12.0,,0.12,6.72
2011-01-22,41,12.0,,0.12,4.92
2011-01-23,37,12.0,,0.12,4.4399999999999995
2011-01-24,62,12.0,,0.12,7.4399999999999995
2011-01-25,47,12.0,,0.12,5.64
2011-01-26,52,12.0,,0.12,6.24
2011-01-27,58,12.0,,0.12,6.96
2011-01-28,49,12.0,,0.12,5.88
2011-01-29,36,12.0,,0.12,4.32
2011-01-30,25,12.0,,0.12,3.0
