date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2010-08-17,44,86.0,,0.86,37.839999999999996
2010-08-18,34,86.0,,0.86,29.24
2010-08-19,42,86.0,,0.86,36.12
2010-08-20,38,86.0,,0.86,32.68
2010-08-21,35,86.0,,0.86,30.099999999999998
2010-08-22,93,86.0,,0.86,79.98
2010-08-23,61,86.0,,0.86,52.46
2010-08-24,55,86.0,,0.86,47.3
2010-08-25,61,86.0,,0.86,52.46
2010-08-26,31,86.0,,0.86,26.66
2010-08-27,49,86.0,,0.86,42.14
2010-08-28,60,86.0,,0.86,51.6
2010-08-29,49,86.0,,0.86,42.14
2010-08-30,88,86.0,,0.86,75.67999999999999
2010-08-31,71,86.0,,0.86,61.06
2010-09-01,21,71.0,False,0.71,14.91
2010-09-02,48,71.0,,0.71,34.08
2010-09-03,25,71.0,,0.71,17.75
2010-09-04,57,71.0,,0.71,40.47
2010-09-05,70,71.0,,0.71,49.699999999999996
2010-09-06,100,71.0,,0.71,71.0
2010-09-07,53,71.0,,0.71,37.629999999999995
2010-09-08,38,71.0,,0.71,26.979999999999997
2010-09-09,46,71.0,,0.71,32.66
2010-09-10,31,71.0,,0.71,22.009999999999998
2010-09-11,34,71.0,,0.71,24.14
2010-09-12,66,71.0,,0.71,46.86
2010-09-13,64,71.0,,0.71,45.44
2010-09-14,37,71.0,,0.71,26.27
2010-09-15,37,71.0,,0.71,26.27
2010-09-16,25,71.0,,0.71,17.75
2010-09-17,32,71.0,,0.71,22.72
2010-09-18,35,71.0,,0.71,24.849999999999998
2010-09-19,53,71.0,,0.71,37.629999999999995
2010-09-20,25,71.0,,0.71,17.75
2010-09-21,35,71.0,,0.71,24.849999999999998
2010-09-22,31,71.0,,0.71,22.009999999999998
2010-09-23,29,71.0,,0.71,20.59
2010-09-24,33,71.0,,0.71,23.43
2010-09-25,9,71.0,,0.71,6.39
2010-09-26,26,71.0,,0.71,18.46
2010-09-27,25,71.0,,0.71,17.75
2010-09-28,28,71.0,,0.71,19.88
2010-09-29,44,71.0,,0.71,31.24
2010-09-30,19,71.0,,0.71,13.489999999999998
2010-10-01,92,44.0,False,0.44,40.48
2010-10-02,69,44.0,,0.44,30.36
2010-10-03,75,44.0,,0.44,33.0
2010-10-04,43,44.0,,0.44,18.92
2010-10-05,48,44.0,,0.44,21.12
2010-10-06,67,44.0,,0.44,29.48
2010-10-07,77,44.0,,0.44,33.88
2010-10-08,52,44.0,,0.44,22.88
2010-10-09,47,44.0,,0.44,20.68
2010-10-10,54,44.0,,0.44,23.76
2010-10-11,56,44.0,,0.44,24.64
2010-10-12,51,44.0,,0.44,22.44
2010-10-13,50,44.0,,0.44,22.0
2010-10-14,80,44.0,,0.44,35.2
2010-10-15,76,44.0,,0.44,33.44
2010-10-16,39,44.0,,0.44,17.16
2010-10-17,68,44.0,,0.44,29.92
2010-10-18,76,44.0,,0.44,33.44
2010-10-19,69,44.0,,0.44,30.36
2010-10-20,53,44.0,,0.44,23.32
2010-10-21,44,44.0,,0.44,19.36
2010-10-22,40,44.0,,0.44,17.6
2010-10-23,68,44.0,,0.44,29.92
2010-10-24,59,44.0,,0.44,25.96
2010-10-25,100,44.0,,0.44,44.0
2010-10-26,51,44.0,,0.44,22.44
2010-10-27,74,44.0,,0.44,32.56
2010-10-28,58,44.0,,0.44,25.52
2010-10-29,86,44.0,,0.44,37.84
2010-10-30,8,44.0,,0.44,3.52
2010-10-31,70,44.0,,0.44,30.8
2010-11-01,42,43.0,False,0.43,18.06
2010-11-02,87,43.0,,0.43,37.41
2010-11-03,78,43.0,,0.43,33.54
2010-11-04,35,43.0,,0.43,15.049999999999999
2010-11-05,50,43.0,,0.43,21.5
2010-11-06,59,43.0,,0.43,25.37
2010-11-07,65,43.0,,0.43,27.95
2010-11-08,72,43.0,,0.43,30.96
2010-11-09,70,43.0,,0.43,30.099999999999998
2010-11-10,60,43.0,,0.43,25.8
2010-11-11,70,43.0,,0.43,30.099999999999998
2010-11-12,70,43.0,,0.43,30.099999999999998
2010-11-13,91,43.0,,0.43,39.13
2010-11-14,74,43.0,,0.43,31.82
2010-11-15,96,43.0,,0.43,41.28
2010-11-16,64,43.0,,0.43,27.52
2010-11-17,71,43.0,,0.43,30.53
2010-11-18,77,43.0,,0.43,33.11
2010-11-19,74,43.0,,0.43,31.82
2010-11-20,57,43.0,,0.43,24.509999999999998
