date,debt_unscaled,debt_monthly,isPartial,scale,debt
2010-09-05,50,38.0,,0.38,19.0
2010-09-06,56,38.0,,0.38,21.28
2010-09-07,86,38.0,,0.38,32.68
2010-09-08,89,38.0,,0.38,33.82
2010-09-09,88,38.0,,0.38,33.44
2010-09-10,76,38.0,,0.38,28.88
2010-09-11,50,38.0,,0.38,19.0
2010-09-12,55,38.0,,0.38,20.9
2010-09-13,81,38.0,,0.38,30.78
2010-09-14,87,38.0,,0.38,33.06
2010-09-15,85,38.0,,0.38,32.3
2010-09-16,86,38.0,,0.38,32.68
2010-09-17,71,38.0,,0.38,26.98
2010-09-18,60,38.0,,0.38,22.8
2010-09-19,44,38.0,,0.38,16.72
2010-09-20,73,38.0,,0.38,27.740000000000002
2010-09-21,95,38.0,,0.38,36.1
2010-09-22,91,38.0,,0.38,34.58
2010-09-23,80,38.0,,0.38,30.4
2010-09-24,91,38.0,,0.38,34.58
2010-09-25,63,38.0,,0.38,23.94
2010-09-26,62,38.0,,0.38,23.56
2010-09-27,85,38.0,,0.38,32.3
2010-09-28,95,38.0,,0.38,36.1
2010-09-29,100,38.0,,0.38,38.0
2010-09-30,82,38.0,,0.38,31.16
2010-10-01,67,39.0,False,0.39,26.130000000000003
2010-10-02,48,39.0,,0.39,18.72
2010-10-03,58,39.0,,0.39,22.62
2010-10-04,87,39.0,,0.39,33.93
2010-10-05,81,39.0,,0.39,31.59
2010-10-06,91,39.0,,0.39,35.49
2010-10-07,83,39.0,,0.39,32.370000000000005
2010-10-08,77,39.0,,0.39,30.03
2010-10-09,57,39.0,,0.39,22.23
2010-10-10,57,39.0,,0.39,22.23
2010-10-11,80,39.0,,0.39,31.200000000000003
2010-10-12,90,39.0,,0.39,35.1
2010-10-13,94,39.0,,0.39,36.660000000000004
2010-10-14,80,39.0,,0.39,31.200000000000003
2010-10-15,81,39.0,,0.39,31.59
2010-10-16,51,39.0,,0.39,19.89
2010-10-17,53,39.0,,0.39,20.67
2010-10-18,95,39.0,,0.39,37.050000000000004
2010-10-19,82,39.0,,0.39,31.98
2010-10-20,88,39.0,,0.39,34.32
2010-10-21,87,39.0,,0.39,33.93
2010-10-22,77,39.0,,0.39,30.03
2010-10-23,53,39.0,,0.39,20.67
2010-10-24,61,39.0,,0.39,23.79
2010-10-25,100,39.0,,0.39,39.0
2010-10-26,95,39.0,,0.39,37.050000000000004
2010-10-27,93,39.0,,0.39,36.27
2010-10-28,76,39.0,,0.39,29.64
2010-10-29,74,39.0,,0.39,28.86
2010-10-30,55,39.0,,0.39,21.45
2010-10-31,65,39.0,,0.39,25.35
2010-11-01,62,40.0,False,0.4,24.8
2010-11-02,76,40.0,,0.4,30.400000000000002
2010-11-03,100,40.0,,0.4,40.0
2010-11-04,88,40.0,,0.4,35.2
2010-11-05,67,40.0,,0.4,26.8
2010-11-06,46,40.0,,0.4,18.400000000000002
2010-11-07,46,40.0,,0.4,18.400000000000002
2010-11-08,70,40.0,,0.4,28.0
2010-11-09,67,40.0,,0.4,26.8
2010-11-10,79,40.0,,0.4,31.6
2010-11-11,73,40.0,,0.4,29.200000000000003
2010-11-12,67,40.0,,0.4,26.8
2010-11-13,47,40.0,,0.4,18.8
2010-11-14,41,40.0,,0.4,16.400000000000002
2010-11-15,66,40.0,,0.4,26.400000000000002
2010-11-16,69,40.0,,0.4,27.6
2010-11-17,77,40.0,,0.4,30.8
2010-11-18,66,40.0,,0.4,26.400000000000002
2010-11-19,65,40.0,,0.4,26.0
2010-11-20,37,40.0,,0.4,14.8
2010-11-21,42,40.0,,0.4,16.8
2010-11-22,61,40.0,,0.4,24.400000000000002
2010-11-23,62,40.0,,0.4,24.8
2010-11-24,55,40.0,,0.4,22.0
2010-11-25,38,40.0,,0.4,15.200000000000001
2010-11-26,30,40.0,,0.4,12.0
2010-11-27,22,40.0,,0.4,8.8
2010-11-28,34,40.0,,0.4,13.600000000000001
2010-11-29,54,40.0,,0.4,21.6
2010-11-30,63,40.0,,0.4,25.200000000000003
2010-12-01,93,34.0,False,0.34,31.62
2010-12-02,97,34.0,,0.34,32.980000000000004
2010-12-03,100,34.0,,0.34,34.0
2010-12-04,57,34.0,,0.34,19.380000000000003
2010-12-05,55,34.0,,0.34,18.700000000000003
2010-12-06,85,34.0,,0.34,28.900000000000002
2010-12-07,90,34.0,,0.34,30.6
2010-12-08,80,34.0,,0.34,27.200000000000003
2010-12-09,87,34.0,,0.34,29.580000000000002
2010-12-10,72,34.0,,0.34,24.48
2010-12-11,45,34.0,,0.34,15.3
2010-12-12,49,34.0,,0.34,16.66
2010-12-13,85,34.0,,0.34,28.900000000000002
2010-12-14,62,34.0,,0.34,21.080000000000002
2010-12-15,66,34.0,,0.34,22.44
2010-12-16,74,34.0,,0.34,25.16
2010-12-17,62,34.0,,0.34,21.080000000000002
2010-12-18,35,34.0,,0.34,11.9
2010-12-19,36,34.0,,0.34,12.24
2010-12-20,69,34.0,,0.34,23.46
2010-12-21,66,34.0,,0.34,22.44
2010-12-22,60,34.0,,0.34,20.400000000000002
2010-12-23,55,34.0,,0.34,18.700000000000003
2010-12-24,40,34.0,,0.34,13.600000000000001
2010-12-25,25,34.0,,0.34,8.5
2010-12-26,41,34.0,,0.34,13.940000000000001
2010-12-27,63,34.0,,0.34,21.42
2010-12-28,62,34.0,,0.34,21.080000000000002
2010-12-29,63,34.0,,0.34,21.42
2010-12-30,64,34.0,,0.34,21.76
2010-12-31,55,34.0,,0.34,18.700000000000003
2011-01-01,43,44.0,False,0.44,18.92
2011-01-02,52,44.0,,0.44,22.88
2011-01-03,70,44.0,,0.44,30.8
2011-01-04,86,44.0,,0.44,37.84
2011-01-05,83,44.0,,0.44,36.52
2011-01-06,77,44.0,,0.44,33.88
2011-01-07,82,44.0,,0.44,36.08
2011-01-08,53,44.0,,0.44,23.32
2011-01-09,49,44.0,,0.44,21.56
2011-01-10,66,44.0,,0.44,29.04
2011-01-11,66,44.0,,0.44,29.04
2011-01-12,68,44.0,,0.44,29.92
2011-01-13,75,44.0,,0.44,33.0
2011-01-14,64,44.0,,0.44,28.16
2011-01-15,52,44.0,,0.44,22.88
2011-01-16,57,44.0,,0.44,25.080000000000002
2011-01-17,66,44.0,,0.44,29.04
2011-01-18,74,44.0,,0.44,32.56
2011-01-19,83,44.0,,0.44,36.52
2011-01-20,68,44.0,,0.44,29.92
2011-01-21,69,44.0,,0.44,30.36
