date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2014-12-01,83,76.0,False,0.76,63.08
2014-12-02,80,76.0,,0.76,60.8
2014-12-03,86,76.0,,0.76,65.36
2014-12-04,83,76.0,,0.76,63.08
2014-12-05,73,76.0,,0.76,55.480000000000004
2014-12-06,62,76.0,,0.76,47.12
2014-12-07,59,76.0,,0.76,44.84
2014-12-08,84,76.0,,0.76,63.84
2014-12-09,100,76.0,,0.76,76.0
2014-12-10,82,76.0,,0.76,62.32
2014-12-11,83,76.0,,0.76,63.08
2014-12-12,73,76.0,,0.76,55.480000000000004
2014-12-13,40,76.0,,0.76,30.4
2014-12-14,51,76.0,,0.76,38.76
2014-12-15,72,76.0,,0.76,54.72
2014-12-16,73,76.0,,0.76,55.480000000000004
2014-12-17,66,76.0,,0.76,50.160000000000004
2014-12-18,65,76.0,,0.76,49.4
2014-12-19,66,76.0,,0.76,50.160000000000004
2014-12-20,44,76.0,,0.76,33.44
2014-12-21,39,76.0,,0.76,29.64
2014-12-22,53,76.0,,0.76,40.28
2014-12-23,57,76.0,,0.76,43.32
2014-12-24,46,76.0,,0.76,34.96
2014-12-25,29,76.0,,0.76,22.04
2014-12-26,37,76.0,,0.76,28.12
2014-12-27,46,76.0,,0.76,34.96
2014-12-28,31,76.0,,0.76,23.56
2014-12-29,73,76.0,,0.76,55.480000000000004
2014-12-30,56,76.0,,0.76,42.56
2014-12-31,54,76.0,,0.76,41.04
2015-01-01,48,79.0,False,0.79,37.92
2015-01-02,74,79.0,,0.79,58.46
2015-01-03,55,79.0,,0.79,43.45
2015-01-04,57,79.0,,0.79,45.03
2015-01-05,89,79.0,,0.79,70.31
2015-01-06,93,79.0,,0.79,73.47
2015-01-07,84,79.0,,0.79,66.36
2015-01-08,92,79.0,,0.79,72.68
2015-01-09,83,79.0,,0.79,65.57000000000001
2015-01-10,51,79.0,,0.79,40.29
2015-01-11,67,79.0,,0.79,52.93
2015-01-12,80,79.0,,0.79,63.2
2015-01-13,100,79.0,,0.79,79.0
2015-01-14,81,79.0,,0.79,63.99
2015-01-15,94,79.0,,0.79,74.26
2015-01-16,70,79.0,,0.79,55.300000000000004
2015-01-17,65,79.0,,0.79,51.35
2015-01-18,58,79.0,,0.79,45.82
2015-01-19,67,79.0,,0.79,52.93
2015-01-20,92,79.0,,0.79,72.68
2015-01-21,95,79.0,,0.79,75.05
2015-01-22,91,79.0,,0.79,71.89
2015-01-23,77,79.0,,0.79,60.830000000000005
2015-01-24,58,79.0,,0.79,45.82
2015-01-25,64,79.0,,0.79,50.56
2015-01-26,84,79.0,,0.79,66.36
2015-01-27,94,79.0,,0.79,74.26
2015-01-28,97,79.0,,0.79,76.63000000000001
2015-01-29,77,79.0,,0.79,60.830000000000005
2015-01-30,77,79.0,,0.79,60.830000000000005
2015-01-31,61,79.0,,0.79,48.190000000000005
2015-02-01,50,78.0,False,0.78,39.0
2015-02-02,80,78.0,,0.78,62.400000000000006
2015-02-03,89,78.0,,0.78,69.42
2015-02-04,76,78.0,,0.78,59.28
2015-02-05,100,78.0,,0.78,78.0
2015-02-06,82,78.0,,0.78,63.96
2015-02-07,43,78.0,,0.78,33.54
2015-02-08,56,78.0,,0.78,43.68
2015-02-09,81,78.0,,0.78,63.18
2015-02-10,83,78.0,,0.78,64.74000000000001
2015-02-11,95,78.0,,0.78,74.10000000000001
2015-02-12,77,78.0,,0.78,60.06
2015-02-13,80,78.0,,0.78,62.400000000000006
2015-02-14,53,78.0,,0.78,41.34
2015-02-15,64,78.0,,0.78,49.92
2015-02-16,78,78.0,,0.78,60.84
2015-02-17,83,78.0,,0.78,64.74000000000001
2015-02-18,92,78.0,,0.78,71.76
2015-02-19,64,78.0,,0.78,49.92
2015-02-20,77,78.0,,0.78,60.06
2015-02-21,66,78.0,,0.78,51.480000000000004
2015-02-22,67,78.0,,0.78,52.260000000000005
2015-02-23,92,78.0,,0.78,71.76
2015-02-24,84,78.0,,0.78,65.52
2015-02-25,89,78.0,,0.78,69.42
2015-02-26,95,78.0,,0.78,74.10000000000001
2015-02-27,86,78.0,,0.78,67.08
2015-02-28,54,78.0,,0.78,42.120000000000005
2015-03-01,54,82.0,False,0.82,44.279999999999994
2015-03-02,77,82.0,,0.82,63.13999999999999
2015-03-03,80,82.0,,0.82,65.6
2015-03-04,100,82.0,,0.82,82.0
2015-03-05,86,82.0,,0.82,70.52
2015-03-06,83,82.0,,0.82,68.06
2015-03-07,56,82.0,,0.82,45.919999999999995
2015-03-08,51,82.0,,0.82,41.82
2015-03-09,78,82.0,,0.82,63.959999999999994
2015-03-10,91,82.0,,0.82,74.61999999999999
2015-03-11,95,82.0,,0.82,77.89999999999999
2015-03-12,93,82.0,,0.82,76.25999999999999
2015-03-13,88,82.0,,0.82,72.16
2015-03-14,70,82.0,,0.82,57.4
2015-03-15,59,82.0,,0.82,48.379999999999995
2015-03-16,97,82.0,,0.82,79.53999999999999
2015-03-17,79,82.0,,0.82,64.78
2015-03-18,88,82.0,,0.82,72.16
2015-03-19,84,82.0,,0.82,68.88
2015-03-20,83,82.0,,0.82,68.06
2015-03-21,54,82.0,,0.82,44.279999999999994
2015-03-22,60,82.0,,0.82,49.199999999999996
2015-03-23,83,82.0,,0.82,68.06
2015-03-24,88,82.0,,0.82,72.16
2015-03-25,84,82.0,,0.82,68.88
2015-03-26,89,82.0,,0.82,72.97999999999999
2015-03-27,73,82.0,,0.82,59.86
2015-03-28,53,82.0,,0.82,43.46
2015-03-29,51,82.0,,0.82,41.82
2015-03-30,97,82.0,,0.82,79.53999999999999
2015-03-31,95,82.0,,0.82,77.89999999999999
2015-04-01,71,86.0,False,0.86,61.06
2015-04-02,70,86.0,,0.86,60.199999999999996
2015-04-03,60,86.0,,0.86,51.6
2015-04-04,41,86.0,,0.86,35.26
2015-04-05,41,86.0,,0.86,35.26
2015-04-06,78,86.0,,0.86,67.08
2015-04-07,84,86.0,,0.86,72.24
2015-04-08,88,86.0,,0.86,75.67999999999999
2015-04-09,78,86.0,,0.86,67.08
2015-04-10,75,86.0,,0.86,64.5
2015-04-11,49,86.0,,0.86,42.14
2015-04-12,46,86.0,,0.86,39.56
2015-04-13,73,86.0,,0.86,62.78
2015-04-14,83,86.0,,0.86,71.38
2015-04-15,79,86.0,,0.86,67.94
2015-04-16,76,86.0,,0.86,65.36
2015-04-17,76,86.0,,0.86,65.36
2015-04-18,45,86.0,,0.86,38.7
2015-04-19,47,86.0,,0.86,40.42
2015-04-20,75,86.0,,0.86,64.5
2015-04-21,84,86.0,,0.86,72.24
2015-04-22,87,86.0,,0.86,74.82
2015-04-23,82,86.0,,0.86,70.52
