date,consume_unscaled,consume_monthly,isPartial,scale,consume
2010-07-13,52,40.0,,0.4,20.8
2010-07-14,100,40.0,,0.4,40.0
2010-07-15,39,40.0,,0.4,15.600000000000001
2010-07-16,98,40.0,,0.4,39.2
2010-07-17,55,40.0,,0.4,22.0
2010-07-18,55,40.0,,0.4,22.0
2010-07-19,43,40.0,,0.4,17.2
2010-07-20,42,40.0,,0.4,16.8
2010-07-21,86,40.0,,0.4,34.4
2010-07-22,44,40.0,,0.4,17.6
2010-07-23,35,40.0,,0.4,14.0
2010-07-24,46,40.0,,0.4,18.400000000000002
2010-07-25,48,40.0,,0.4,19.200000000000003
2010-07-26,38,40.0,,0.4,15.200000000000001
2010-07-27,75,40.0,,0.4,30.0
2010-07-28,91,40.0,,0.4,36.4
2010-07-29,72,40.0,,0.4,28.8
2010-07-30,35,40.0,,0.4,14.0
2010-07-31,47,40.0,,0.4,18.8
2010-08-01,51,46.0,False,0.46,23.46
2010-08-02,81,46.0,,0.46,37.260000000000005
2010-08-03,45,46.0,,0.46,20.7
2010-08-04,66,46.0,,0.46,30.360000000000003
2010-08-05,77,46.0,,0.46,35.42
2010-08-06,32,46.0,,0.46,14.72
2010-08-07,21,46.0,,0.46,9.66
2010-08-08,100,46.0,,0.46,46.0
2010-08-09,70,46.0,,0.46,32.2
2010-08-10,79,46.0,,0.46,36.34
2010-08-11,75,46.0,,0.46,34.5
2010-08-12,46,46.0,,0.46,21.16
2010-08-13,32,46.0,,0.46,14.72
2010-08-14,35,46.0,,0.46,16.1
2010-08-15,65,46.0,,0.46,29.900000000000002
2010-08-16,66,46.0,,0.46,30.360000000000003
2010-08-17,65,46.0,,0.46,29.900000000000002
2010-08-18,30,46.0,,0.46,13.8
2010-08-19,72,46.0,,0.46,33.120000000000005
2010-08-20,42,46.0,,0.46,19.32
2010-08-21,42,46.0,,0.46,19.32
2010-08-22,34,46.0,,0.46,15.64
2010-08-23,74,46.0,,0.46,34.04
2010-08-24,63,46.0,,0.46,28.98
2010-08-25,83,46.0,,0.46,38.18
2010-08-26,75,46.0,,0.46,34.5
2010-08-27,47,46.0,,0.46,21.62
2010-08-28,68,46.0,,0.46,31.28
2010-08-29,61,46.0,,0.46,28.060000000000002
2010-08-30,69,46.0,,0.46,31.740000000000002
2010-08-31,85,46.0,,0.46,39.1
2010-09-01,65,47.0,False,0.47,30.549999999999997
2010-09-02,84,47.0,,0.47,39.48
2010-09-03,80,47.0,,0.47,37.599999999999994
2010-09-04,46,47.0,,0.47,21.619999999999997
2010-09-05,48,47.0,,0.47,22.56
2010-09-06,72,47.0,,0.47,33.839999999999996
2010-09-07,60,47.0,,0.47,28.2
2010-09-08,73,47.0,,0.47,34.309999999999995
2010-09-09,32,47.0,,0.47,15.04
2010-09-10,67,47.0,,0.47,31.49
2010-09-11,38,47.0,,0.47,17.86
2010-09-12,37,47.0,,0.47,17.39
2010-09-13,100,47.0,,0.47,47.0
2010-09-14,50,47.0,,0.47,23.5
2010-09-15,68,47.0,,0.47,31.959999999999997
2010-09-16,56,47.0,,0.47,26.32
2010-09-17,29,47.0,,0.47,13.629999999999999
2010-09-18,59,47.0,,0.47,27.729999999999997
2010-09-19,32,47.0,,0.47,15.04
2010-09-20,74,47.0,,0.47,34.78
2010-09-21,55,47.0,,0.47,25.849999999999998
2010-09-22,49,47.0,,0.47,23.029999999999998
2010-09-23,90,47.0,,0.47,42.3
2010-09-24,97,47.0,,0.47,45.589999999999996
2010-09-25,45,47.0,,0.47,21.15
2010-09-26,81,47.0,,0.47,38.07
2010-09-27,54,47.0,,0.47,25.38
2010-09-28,96,47.0,,0.47,45.12
2010-09-29,67,47.0,,0.47,31.49
