date,earnings_unscaled,earnings_monthly,isPartial,scale,earnings
2010-10-09,17,37.0,,0.37,6.29
2010-10-10,23,37.0,,0.37,8.51
2010-10-11,39,37.0,,0.37,14.43
2010-10-12,33,37.0,,0.37,12.209999999999999
2010-10-13,43,37.0,,0.37,15.91
2010-10-14,48,37.0,,0.37,17.759999999999998
2010-10-15,47,37.0,,0.37,17.39
2010-10-16,29,37.0,,0.37,10.73
2010-10-17,28,37.0,,0.37,10.36
2010-10-18,100,37.0,,0.37,37.0
2010-10-19,52,37.0,,0.37,19.24
2010-10-20,71,37.0,,0.37,26.27
2010-10-21,72,37.0,,0.37,26.64
2010-10-22,40,37.0,,0.37,14.8
2010-10-23,25,37.0,,0.37,9.25
2010-10-24,24,37.0,,0.37,8.879999999999999
2010-10-25,59,37.0,,0.37,21.83
2010-10-26,55,37.0,,0.37,20.35
2010-10-27,60,37.0,,0.37,22.2
2010-10-28,49,37.0,,0.37,18.13
2010-10-29,34,37.0,,0.37,12.58
2010-10-30,22,37.0,,0.37,8.14
2010-10-31,26,37.0,,0.37,9.62
2010-11-01,97,29.0,False,0.29,28.13
2010-11-02,78,29.0,,0.29,22.619999999999997
2010-11-03,100,29.0,,0.29,28.999999999999996
2010-11-04,80,29.0,,0.29,23.2
2010-11-05,72,29.0,,0.29,20.88
2010-11-06,50,29.0,,0.29,14.499999999999998
2010-11-07,62,29.0,,0.29,17.98
2010-11-08,88,29.0,,0.29,25.52
2010-11-09,60,29.0,,0.29,17.4
2010-11-10,73,29.0,,0.29,21.169999999999998
2010-11-11,61,29.0,,0.29,17.689999999999998
2010-11-12,53,29.0,,0.29,15.37
2010-11-13,40,29.0,,0.29,11.6
2010-11-14,73,29.0,,0.29,21.169999999999998
2010-11-15,99,29.0,,0.29,28.709999999999997
2010-11-16,64,29.0,,0.29,18.56
2010-11-17,67,29.0,,0.29,19.43
2010-11-18,75,29.0,,0.29,21.75
2010-11-19,72,29.0,,0.29,20.88
2010-11-20,45,29.0,,0.29,13.049999999999999
2010-11-21,42,29.0,,0.29,12.18
2010-11-22,95,29.0,,0.29,27.549999999999997
2010-11-23,52,29.0,,0.29,15.079999999999998
2010-11-24,41,29.0,,0.29,11.889999999999999
2010-11-25,23,29.0,,0.29,6.67
2010-11-26,15,29.0,,0.29,4.35
2010-11-27,43,29.0,,0.29,12.469999999999999
2010-11-28,26,29.0,,0.29,7.539999999999999
2010-11-29,63,29.0,,0.29,18.27
2010-11-30,69,29.0,,0.29,20.009999999999998
2010-12-01,83,22.0,False,0.22,18.26
2010-12-02,86,22.0,,0.22,18.92
2010-12-03,82,22.0,,0.22,18.04
2010-12-04,52,22.0,,0.22,11.44
2010-12-05,84,22.0,,0.22,18.48
2010-12-06,97,22.0,,0.22,21.34
2010-12-07,74,22.0,,0.22,16.28
2010-12-08,100,22.0,,0.22,22.0
2010-12-09,90,22.0,,0.22,19.8
2010-12-10,69,22.0,,0.22,15.18
2010-12-11,85,22.0,,0.22,18.7
2010-12-12,58,22.0,,0.22,12.76
2010-12-13,84,22.0,,0.22,18.48
2010-12-14,71,22.0,,0.22,15.62
2010-12-15,77,22.0,,0.22,16.94
2010-12-16,88,22.0,,0.22,19.36
2010-12-17,94,22.0,,0.22,20.68
2010-12-18,51,22.0,,0.22,11.22
2010-12-19,38,22.0,,0.22,8.36
2010-12-20,80,22.0,,0.22,17.6
2010-12-21,67,22.0,,0.22,14.74
2010-12-22,37,22.0,,0.22,8.14
2010-12-23,57,22.0,,0.22,12.540000000000001
2010-12-24,35,22.0,,0.22,7.7
2010-12-25,30,22.0,,0.22,6.6
2010-12-26,30,22.0,,0.22,6.6
2010-12-27,28,22.0,,0.22,6.16
2010-12-28,57,22.0,,0.22,12.540000000000001
2010-12-29,63,22.0,,0.22,13.86
2010-12-30,62,22.0,,0.22,13.64
2010-12-31,83,22.0,,0.22,18.26
2011-01-01,18,41.0,False,0.41,7.38
2011-01-02,27,41.0,,0.41,11.069999999999999
2011-01-03,30,41.0,,0.41,12.299999999999999
2011-01-04,30,41.0,,0.41,12.299999999999999
2011-01-05,37,41.0,,0.41,15.17
2011-01-06,31,41.0,,0.41,12.709999999999999
2011-01-07,33,41.0,,0.41,13.53
2011-01-08,28,41.0,,0.41,11.479999999999999
2011-01-09,24,41.0,,0.41,9.84
2011-01-10,48,41.0,,0.41,19.68
2011-01-11,48,41.0,,0.41,19.68
2011-01-12,50,41.0,,0.41,20.5
2011-01-13,45,41.0,,0.41,18.45
2011-01-14,51,41.0,,0.41,20.91
2011-01-15,27,41.0,,0.41,11.069999999999999
2011-01-16,32,41.0,,0.41,13.12
2011-01-17,38,41.0,,0.41,15.579999999999998
2011-01-18,100,41.0,,0.41,41.0
2011-01-19,80,41.0,,0.41,32.8
2011-01-20,64,41.0,,0.41,26.24
2011-01-21,69,41.0,,0.41,28.29
2011-01-22,31,41.0,,0.41,12.709999999999999
2011-01-23,28,41.0,,0.41,11.479999999999999
2011-01-24,58,41.0,,0.41,23.779999999999998
2011-01-25,67,41.0,,0.41,27.47
2011-01-26,65,41.0,,0.41,26.65
2011-01-27,74,41.0,,0.41,30.34
2011-01-28,54,41.0,,0.41,22.139999999999997
2011-01-29,38,41.0,,0.41,15.579999999999998
2011-01-30,18,41.0,,0.41,7.38
2011-01-31,63,41.0,,0.41,25.83
2011-02-01,92,41.0,False,0.41,37.72
2011-02-02,73,41.0,,0.41,29.93
2011-02-03,90,41.0,,0.41,36.9
2011-02-04,75,41.0,,0.41,30.749999999999996
2011-02-05,46,41.0,,0.41,18.86
2011-02-06,50,41.0,,0.41,20.5
2011-02-07,77,41.0,,0.41,31.569999999999997
2011-02-08,93,41.0,,0.41,38.129999999999995
2011-02-09,94,41.0,,0.41,38.54
2011-02-10,100,41.0,,0.41,41.0
2011-02-11,66,41.0,,0.41,27.06
2011-02-12,43,41.0,,0.41,17.63
2011-02-13,60,41.0,,0.41,24.599999999999998
2011-02-14,83,41.0,,0.41,34.03
2011-02-15,90,41.0,,0.41,36.9
2011-02-16,81,41.0,,0.41,33.21
2011-02-17,90,41.0,,0.41,36.9
2011-02-18,63,41.0,,0.41,25.83
2011-02-19,47,41.0,,0.41,19.27
2011-02-20,42,41.0,,0.41,17.22
2011-02-21,60,41.0,,0.41,24.599999999999998
2011-02-22,74,41.0,,0.41,30.34
2011-02-23,60,41.0,,0.41,24.599999999999998
2011-02-24,92,41.0,,0.41,37.72
2011-02-25,50,41.0,,0.41,20.5
2011-02-26,47,41.0,,0.41,19.27
2011-02-27,46,41.0,,0.41,18.86
2011-02-28,75,41.0,,0.41,30.749999999999996
2011-03-01,74,28.0,False,0.28,20.720000000000002
2011-03-02,86,28.0,,0.28,24.080000000000002
2011-03-03,100,28.0,,0.28,28.000000000000004
2011-03-04,85,28.0,,0.28,23.8
2011-03-05,56,28.0,,0.28,15.680000000000001
2011-03-06,24,28.0,,0.28,6.720000000000001
2011-03-07,64,28.0,,0.28,17.92
2011-03-08,70,28.0,,0.28,19.6
2011-03-09,97,28.0,,0.28,27.160000000000004
2011-03-10,60,28.0,,0.28,16.8
2011-03-11,46,28.0,,0.28,12.88
2011-03-12,37,28.0,,0.28,10.360000000000001
2011-03-13,41,28.0,,0.28,11.48
2011-03-14,65,28.0,,0.28,18.200000000000003
2011-03-15,59,28.0,,0.28,16.520000000000003
2011-03-16,95,28.0,,0.28,26.6
2011-03-17,64,28.0,,0.28,17.92
2011-03-18,55,28.0,,0.28,15.400000000000002
2011-03-19,38,28.0,,0.28,10.64
2011-03-20,65,28.0,,0.28,18.200000000000003
2011-03-21,74,28.0,,0.28,20.720000000000002
2011-03-22,74,28.0,,0.28,20.720000000000002
2011-03-23,66,28.0,,0.28,18.48
2011-03-24,74,28.0,,0.28,20.720000000000002
2011-03-25,85,28.0,,0.28,23.8
2011-03-26,68,28.0,,0.28,19.040000000000003
2011-03-27,77,28.0,,0.28,21.560000000000002
2011-03-28,80,28.0,,0.28,22.400000000000002
2011-03-29,71,28.0,,0.28,19.880000000000003
2011-03-30,78,28.0,,0.28,21.840000000000003
2011-03-31,66,28.0,,0.28,18.48
2011-04-01,32,45.0,False,0.45,14.4
2011-04-02,19,45.0,,0.45,8.55
2011-04-03,31,45.0,,0.45,13.950000000000001
2011-04-04,41,45.0,,0.45,18.45
2011-04-05,43,45.0,,0.45,19.35
2011-04-06,47,45.0,,0.45,21.150000000000002
2011-04-07,39,45.0,,0.45,17.55
2011-04-08,30,45.0,,0.45,13.5
2011-04-09,28,45.0,,0.45,12.6
2011-04-10,38,45.0,,0.45,17.1
2011-04-11,72,45.0,,0.45,32.4
2011-04-12,55,45.0,,0.45,24.75
2011-04-13,54,45.0,,0.45,24.3
2011-04-14,57,45.0,,0.45,25.650000000000002
2011-04-15,48,45.0,,0.45,21.6
2011-04-16,26,45.0,,0.45,11.700000000000001
2011-04-17,45,45.0,,0.45,20.25
2011-04-18,61,45.0,,0.45,27.45
2011-04-19,64,45.0,,0.45,28.8
2011-04-20,100,45.0,,0.45,45.0
2011-04-21,71,45.0,,0.45,31.95
2011-04-22,47,45.0,,0.45,21.150000000000002
2011-04-23,31,45.0,,0.45,13.950000000000001
2011-04-24,27,45.0,,0.45,12.15
2011-04-25,60,45.0,,0.45,27.0
2011-04-26,64,45.0,,0.45,28.8
2011-04-27,65,45.0,,0.45,29.25
2011-04-28,72,45.0,,0.45,32.4
2011-04-29,49,45.0,,0.45,22.05
2011-04-30,29,45.0,,0.45,13.05
2011-05-01,52,29.0,False,0.29,15.079999999999998
2011-05-02,92,29.0,,0.29,26.68
2011-05-03,95,29.0,,0.29,27.549999999999997
2011-05-04,97,29.0,,0.29,28.13
2011-05-05,100,29.0,,0.29,28.999999999999996
2011-05-06,65,29.0,,0.29,18.849999999999998
2011-05-07,39,29.0,,0.29,11.309999999999999
2011-05-08,48,29.0,,0.29,13.919999999999998
2011-05-09,85,29.0,,0.29,24.65
2011-05-10,81,29.0,,0.29,23.49
2011-05-11,86,29.0,,0.29,24.939999999999998
2011-05-12,71,29.0,,0.29,20.59
2011-05-13,54,29.0,,0.29,15.659999999999998
2011-05-14,44,29.0,,0.29,12.76
2011-05-15,48,29.0,,0.29,13.919999999999998
2011-05-16,64,29.0,,0.29,18.56
2011-05-17,67,29.0,,0.29,19.43
2011-05-18,66,29.0,,0.29,19.139999999999997
2011-05-19,64,29.0,,0.29,18.56
2011-05-20,51,29.0,,0.29,14.79
2011-05-21,33,29.0,,0.29,9.569999999999999
2011-05-22,41,29.0,,0.29,11.889999999999999
2011-05-23,52,29.0,,0.29,15.079999999999998
2011-05-24,55,29.0,,0.29,15.95
2011-05-25,55,29.0,,0.29,15.95
2011-05-26,57,29.0,,0.29,16.529999999999998
2011-05-27,53,29.0,,0.29,15.37
2011-05-28,29,29.0,,0.29,8.41
2011-05-29,30,29.0,,0.29,8.7
2011-05-30,31,29.0,,0.29,8.99
2011-05-31,52,29.0,,0.29,15.079999999999998
2011-06-01,69,22.0,False,0.22,15.18
2011-06-02,73,22.0,,0.22,16.06
2011-06-03,66,22.0,,0.22,14.52
2011-06-04,39,22.0,,0.22,8.58
2011-06-05,58,22.0,,0.22,12.76
2011-06-06,89,22.0,,0.22,19.580000000000002
2011-06-07,68,22.0,,0.22,14.96
2011-06-08,52,22.0,,0.22,11.44
2011-06-09,59,22.0,,0.22,12.98
2011-06-10,60,22.0,,0.22,13.2
2011-06-11,40,22.0,,0.22,8.8
2011-06-12,49,22.0,,0.22,10.78
2011-06-13,67,22.0,,0.22,14.74
2011-06-14,71,22.0,,0.22,15.62
2011-06-15,66,22.0,,0.22,14.52
2011-06-16,77,22.0,,0.22,16.94
2011-06-17,85,22.0,,0.22,18.7
2011-06-18,51,22.0,,0.22,11.22
2011-06-19,71,22.0,,0.22,15.62
2011-06-20,100,22.0,,0.22,22.0
2011-06-21,73,22.0,,0.22,16.06
2011-06-22,68,22.0,,0.22,14.96
2011-06-23,78,22.0,,0.22,17.16
2011-06-24,64,22.0,,0.22,14.08
2011-06-25,52,22.0,,0.22,11.44
2011-06-26,43,22.0,,0.22,9.46
2011-06-27,72,22.0,,0.22,15.84
2011-06-28,76,22.0,,0.22,16.72
2011-06-29,56,22.0,,0.22,12.32
2011-06-30,77,22.0,,0.22,16.94
2011-07-01,19,37.0,False,0.37,7.03
2011-07-02,12,37.0,,0.37,4.4399999999999995
2011-07-03,18,37.0,,0.37,6.66
2011-07-04,19,37.0,,0.37,7.03
2011-07-05,22,37.0,,0.37,8.14
2011-07-06,31,37.0,,0.37,11.47
2011-07-07,24,37.0,,0.37,8.879999999999999
2011-07-08,31,37.0,,0.37,11.47
