date,culture_unscaled,culture_monthly,isPartial,scale,culture
2010-11-06,48,64.0,,0.64,30.72
2010-11-07,65,64.0,,0.64,41.6
2010-11-08,79,64.0,,0.64,50.56
2010-11-09,85,64.0,,0.64,54.4
2010-11-10,86,64.0,,0.64,55.04
2010-11-11,75,64.0,,0.64,48.0
2010-11-12,67,64.0,,0.64,42.88
2010-11-13,51,64.0,,0.64,32.64
2010-11-14,62,64.0,,0.64,39.68
2010-11-15,100,64.0,,0.64,64.0
2010-11-16,87,64.0,,0.64,55.68
2010-11-17,91,64.0,,0.64,58.24
2010-11-18,87,64.0,,0.64,55.68
2010-11-19,71,64.0,,0.64,45.44
2010-11-20,47,64.0,,0.64,30.080000000000002
2010-11-21,62,64.0,,0.64,39.68
2010-11-22,77,64.0,,0.64,49.28
2010-11-23,74,64.0,,0.64,47.36
2010-11-24,62,64.0,,0.64,39.68
2010-11-25,39,64.0,,0.64,24.96
2010-11-26,46,64.0,,0.64,29.44
2010-11-27,50,64.0,,0.64,32.0
2010-11-28,60,64.0,,0.64,38.4
2010-11-29,77,64.0,,0.64,49.28
2010-11-30,87,64.0,,0.64,55.68
2010-12-01,94,52.0,False,0.52,48.88
2010-12-02,94,52.0,,0.52,48.88
2010-12-03,87,52.0,,0.52,45.24
2010-12-04,57,52.0,,0.52,29.64
2010-12-05,85,52.0,,0.52,44.2
2010-12-06,97,52.0,,0.52,50.440000000000005
2010-12-07,100,52.0,,0.52,52.0
2010-12-08,96,52.0,,0.52,49.92
2010-12-09,95,52.0,,0.52,49.4
2010-12-10,85,52.0,,0.52,44.2
2010-12-11,59,52.0,,0.52,30.68
2010-12-12,69,52.0,,0.52,35.88
2010-12-13,81,52.0,,0.52,42.120000000000005
2010-12-14,90,52.0,,0.52,46.800000000000004
2010-12-15,84,52.0,,0.52,43.68
2010-12-16,76,52.0,,0.52,39.52
2010-12-17,64,52.0,,0.52,33.28
2010-12-18,40,52.0,,0.52,20.8
2010-12-19,46,52.0,,0.52,23.92
2010-12-20,49,52.0,,0.52,25.48
2010-12-21,41,52.0,,0.52,21.32
2010-12-22,41,52.0,,0.52,21.32
2010-12-23,41,52.0,,0.52,21.32
2010-12-24,31,52.0,,0.52,16.12
2010-12-25,27,52.0,,0.52,14.040000000000001
2010-12-26,39,52.0,,0.52,20.28
2010-12-27,30,52.0,,0.52,15.600000000000001
2010-12-28,47,52.0,,0.52,24.44
2010-12-29,39,52.0,,0.52,20.28
2010-12-30,44,52.0,,0.52,22.880000000000003
2010-12-31,38,52.0,,0.52,19.76
2011-01-01,36,55.0,False,0.55,19.8
2011-01-02,52,55.0,,0.55,28.6
2011-01-03,54,55.0,,0.55,29.700000000000003
2011-01-04,69,55.0,,0.55,37.95
2011-01-05,80,55.0,,0.55,44.0
2011-01-06,85,55.0,,0.55,46.75000000000001
2011-01-07,86,55.0,,0.55,47.300000000000004
2011-01-08,58,55.0,,0.55,31.900000000000002
2011-01-09,67,55.0,,0.55,36.85
2011-01-10,77,55.0,,0.55,42.35
2011-01-11,77,55.0,,0.55,42.35
2011-01-12,74,55.0,,0.55,40.7
2011-01-13,75,55.0,,0.55,41.25
2011-01-14,71,55.0,,0.55,39.050000000000004
2011-01-15,55,55.0,,0.55,30.250000000000004
2011-01-16,62,55.0,,0.55,34.1
2011-01-17,64,55.0,,0.55,35.2
2011-01-18,84,55.0,,0.55,46.2
2011-01-19,78,55.0,,0.55,42.900000000000006
2011-01-20,90,55.0,,0.55,49.50000000000001
2011-01-21,79,55.0,,0.55,43.45
2011-01-22,56,55.0,,0.55,30.800000000000004
2011-01-23,63,55.0,,0.55,34.650000000000006
2011-01-24,85,55.0,,0.55,46.75000000000001
2011-01-25,100,55.0,,0.55,55.00000000000001
2011-01-26,95,55.0,,0.55,52.25000000000001
2011-01-27,95,55.0,,0.55,52.25000000000001
2011-01-28,88,55.0,,0.55,48.400000000000006
2011-01-29,58,55.0,,0.55,31.900000000000002
2011-01-30,82,55.0,,0.55,45.1
2011-01-31,100,55.0,,0.55,55.00000000000001
2011-02-01,79,65.0,False,0.65,51.35
2011-02-02,79,65.0,,0.65,51.35
2011-02-03,74,65.0,,0.65,48.1
2011-02-04,76,65.0,,0.65,49.4
2011-02-05,59,65.0,,0.65,38.35
2011-02-06,68,65.0,,0.65,44.2
2011-02-07,82,65.0,,0.65,53.300000000000004
2011-02-08,86,65.0,,0.65,55.9
2011-02-09,86,65.0,,0.65,55.9
2011-02-10,92,65.0,,0.65,59.800000000000004
2011-02-11,73,65.0,,0.65,47.45
2011-02-12,62,65.0,,0.65,40.300000000000004
2011-02-13,69,65.0,,0.65,44.85
2011-02-14,88,65.0,,0.65,57.2
2011-02-15,94,65.0,,0.65,61.1
2011-02-16,100,65.0,,0.65,65.0
2011-02-17,98,65.0,,0.65,63.7
2011-02-18,76,65.0,,0.65,49.4
2011-02-19,61,65.0,,0.65,39.65
2011-02-20,60,65.0,,0.65,39.0
2011-02-21,70,65.0,,0.65,45.5
2011-02-22,86,65.0,,0.65,55.9
2011-02-23,95,65.0,,0.65,61.75
2011-02-24,82,65.0,,0.65,53.300000000000004
2011-02-25,78,65.0,,0.65,50.7
2011-02-26,63,65.0,,0.65,40.95
2011-02-27,65,65.0,,0.65,42.25
2011-02-28,93,65.0,,0.65,60.45
2011-03-01,99,64.0,False,0.64,63.36
2011-03-02,97,64.0,,0.64,62.08
2011-03-03,100,64.0,,0.64,64.0
2011-03-04,85,64.0,,0.64,54.4
2011-03-05,64,64.0,,0.64,40.96
2011-03-06,69,64.0,,0.64,44.160000000000004
2011-03-07,89,64.0,,0.64,56.96
2011-03-08,97,64.0,,0.64,62.08
2011-03-09,91,64.0,,0.64,58.24
2011-03-10,88,64.0,,0.64,56.32
2011-03-11,82,64.0,,0.64,52.480000000000004
2011-03-12,51,64.0,,0.64,32.64
2011-03-13,61,64.0,,0.64,39.04
2011-03-14,81,64.0,,0.64,51.84
2011-03-15,85,64.0,,0.64,54.4
2011-03-16,83,64.0,,0.64,53.120000000000005
2011-03-17,88,64.0,,0.64,56.32
2011-03-18,68,64.0,,0.64,43.52
2011-03-19,59,64.0,,0.64,37.76
2011-03-20,72,64.0,,0.64,46.08
2011-03-21,85,64.0,,0.64,54.4
2011-03-22,80,64.0,,0.64,51.2
2011-03-23,91,64.0,,0.64,58.24
2011-03-24,85,64.0,,0.64,54.4
2011-03-25,74,64.0,,0.64,47.36
2011-03-26,56,64.0,,0.64,35.84
2011-03-27,64,64.0,,0.64,40.96
2011-03-28,86,64.0,,0.64,55.04
2011-03-29,93,64.0,,0.64,59.52
2011-03-30,92,64.0,,0.64,58.88
2011-03-31,86,64.0,,0.64,55.04
2011-04-01,86,64.0,False,0.64,55.04
2011-04-02,60,64.0,,0.64,38.4
2011-04-03,70,64.0,,0.64,44.800000000000004
2011-04-04,93,64.0,,0.64,59.52
2011-04-05,95,64.0,,0.64,60.800000000000004
2011-04-06,90,64.0,,0.64,57.6
2011-04-07,73,64.0,,0.64,46.72
2011-04-08,74,64.0,,0.64,47.36
2011-04-09,64,64.0,,0.64,40.96
2011-04-10,69,64.0,,0.64,44.160000000000004
2011-04-11,96,64.0,,0.64,61.44
2011-04-12,100,64.0,,0.64,64.0
2011-04-13,82,64.0,,0.64,52.480000000000004
2011-04-14,89,64.0,,0.64,56.96
2011-04-15,84,64.0,,0.64,53.76
2011-04-16,58,64.0,,0.64,37.12
2011-04-17,67,64.0,,0.64,42.88
2011-04-18,90,64.0,,0.64,57.6
2011-04-19,85,64.0,,0.64,54.4
2011-04-20,89,64.0,,0.64,56.96
2011-04-21,74,64.0,,0.64,47.36
2011-04-22,68,64.0,,0.64,43.52
2011-04-23,52,64.0,,0.64,33.28
2011-04-24,67,64.0,,0.64,42.88
2011-04-25,84,64.0,,0.64,53.76
2011-04-26,99,64.0,,0.64,63.36
2011-04-27,88,64.0,,0.64,56.32
2011-04-28,91,64.0,,0.64,58.24
2011-04-29,71,64.0,,0.64,45.44
2011-04-30,45,64.0,,0.64,28.8
2011-05-01,60,61.0,False,0.61,36.6
2011-05-02,78,61.0,,0.61,47.58
2011-05-03,90,61.0,,0.61,54.9
2011-05-04,92,61.0,,0.61,56.12
2011-05-05,98,61.0,,0.61,59.78
2011-05-06,82,61.0,,0.61,50.019999999999996
2011-05-07,53,61.0,,0.61,32.33
2011-05-08,67,61.0,,0.61,40.87
2011-05-09,97,61.0,,0.61,59.17
2011-05-10,93,61.0,,0.61,56.73
2011-05-11,100,61.0,,0.61,61.0
2011-05-12,80,61.0,,0.61,48.8
2011-05-13,77,61.0,,0.61,46.97
2011-05-14,52,61.0,,0.61,31.72
2011-05-15,61,61.0,,0.61,37.21
2011-05-16,86,61.0,,0.61,52.46
2011-05-17,93,61.0,,0.61,56.73
2011-05-18,78,61.0,,0.61,47.58
2011-05-19,83,61.0,,0.61,50.629999999999995
2011-05-20,69,61.0,,0.61,42.089999999999996
2011-05-21,51,61.0,,0.61,31.11
2011-05-22,61,61.0,,0.61,37.21
2011-05-23,71,61.0,,0.61,43.31
2011-05-24,72,61.0,,0.61,43.92
2011-05-25,69,61.0,,0.61,42.089999999999996
2011-05-26,71,61.0,,0.61,43.31
2011-05-27,58,61.0,,0.61,35.38
2011-05-28,53,61.0,,0.61,32.33
2011-05-29,52,61.0,,0.61,31.72
2011-05-30,69,61.0,,0.61,42.089999999999996
2011-05-31,57,61.0,,0.61,34.769999999999996
2011-06-01,88,47.0,False,0.47,41.36
2011-06-02,100,47.0,,0.47,47.0
2011-06-03,91,47.0,,0.47,42.769999999999996
2011-06-04,71,47.0,,0.47,33.37
2011-06-05,73,47.0,,0.47,34.309999999999995
2011-06-06,91,47.0,,0.47,42.769999999999996
2011-06-07,90,47.0,,0.47,42.3
2011-06-08,86,47.0,,0.47,40.419999999999995
2011-06-09,85,47.0,,0.47,39.949999999999996
2011-06-10,77,47.0,,0.47,36.19
2011-06-11,65,47.0,,0.47,30.549999999999997
2011-06-12,68,47.0,,0.47,31.959999999999997
2011-06-13,82,47.0,,0.47,38.54
2011-06-14,78,47.0,,0.47,36.66
2011-06-15,75,47.0,,0.47,35.25
2011-06-16,74,47.0,,0.47,34.78
2011-06-17,65,47.0,,0.47,30.549999999999997
2011-06-18,66,47.0,,0.47,31.02
2011-06-19,62,47.0,,0.47,29.139999999999997
2011-06-20,70,47.0,,0.47,32.9
2011-06-21,78,47.0,,0.47,36.66
2011-06-22,72,47.0,,0.47,33.839999999999996
2011-06-23,78,47.0,,0.47,36.66
2011-06-24,63,47.0,,0.47,29.61
2011-06-25,65,47.0,,0.47,30.549999999999997
2011-06-26,60,47.0,,0.47,28.2
2011-06-27,82,47.0,,0.47,38.54
2011-06-28,75,47.0,,0.47,35.25
2011-06-29,67,47.0,,0.47,31.49
2011-06-30,68,47.0,,0.47,31.959999999999997
2011-07-01,91,41.0,False,0.41,37.309999999999995
2011-07-02,68,41.0,,0.41,27.88
2011-07-03,56,41.0,,0.41,22.959999999999997
2011-07-04,68,41.0,,0.41,27.88
2011-07-05,70,41.0,,0.41,28.7
2011-07-06,81,41.0,,0.41,33.21
2011-07-07,76,41.0,,0.41,31.159999999999997
2011-07-08,79,41.0,,0.41,32.39
2011-07-09,68,41.0,,0.41,27.88
2011-07-10,80,41.0,,0.41,32.8
2011-07-11,84,41.0,,0.41,34.44
2011-07-12,72,41.0,,0.41,29.52
2011-07-13,96,41.0,,0.41,39.36
2011-07-14,86,41.0,,0.41,35.26
2011-07-15,93,41.0,,0.41,38.129999999999995
2011-07-16,61,41.0,,0.41,25.009999999999998
2011-07-17,72,41.0,,0.41,29.52
2011-07-18,100,41.0,,0.41,41.0
2011-07-19,75,41.0,,0.41,30.749999999999996
2011-07-20,91,41.0,,0.41,37.309999999999995
2011-07-21,91,41.0,,0.41,37.309999999999995
2011-07-22,83,41.0,,0.41,34.03
2011-07-23,69,41.0,,0.41,28.29
2011-07-24,79,41.0,,0.41,32.39
2011-07-25,91,41.0,,0.41,37.309999999999995
2011-07-26,94,41.0,,0.41,38.54
2011-07-27,75,41.0,,0.41,30.749999999999996
2011-07-28,82,41.0,,0.41,33.62
2011-07-29,70,41.0,,0.41,28.7
2011-07-30,80,41.0,,0.41,32.8
2011-07-31,81,41.0,,0.41,33.21
2011-08-01,64,45.0,False,0.45,28.8
2011-08-02,71,45.0,,0.45,31.95
2011-08-03,62,45.0,,0.45,27.900000000000002
2011-08-04,75,45.0,,0.45,33.75
2011-08-05,73,45.0,,0.45,32.85
2011-08-06,71,45.0,,0.45,31.95
2011-08-07,61,45.0,,0.45,27.45
2011-08-08,66,45.0,,0.45,29.7
2011-08-09,69,45.0,,0.45,31.05
2011-08-10,63,45.0,,0.45,28.35
2011-08-11,70,45.0,,0.45,31.5
2011-08-12,58,45.0,,0.45,26.1
2011-08-13,58,45.0,,0.45,26.1
2011-08-14,64,45.0,,0.45,28.8
2011-08-15,54,45.0,,0.45,24.3
2011-08-16,60,45.0,,0.45,27.0
2011-08-17,62,45.0,,0.45,27.900000000000002
2011-08-18,72,45.0,,0.45,32.4
2011-08-19,70,45.0,,0.45,31.5
2011-08-20,56,45.0,,0.45,25.2
2011-08-21,63,45.0,,0.45,28.35
2011-08-22,72,45.0,,0.45,32.4
2011-08-23,78,45.0,,0.45,35.1
2011-08-24,84,45.0,,0.45,37.800000000000004
