date,quarantine_unscaled,quarantine_monthly,isPartial,scale,quarantine
2011-03-07,26,1.0,,0.01,0.26
2011-03-08,96,1.0,,0.01,0.96
2011-03-09,52,1.0,,0.01,0.52
2011-03-10,80,1.0,,0.01,0.8
2011-03-11,18,1.0,,0.01,0.18
2011-03-12,61,1.0,,0.01,0.61
2011-03-13,50,1.0,,0.01,0.5
2011-03-14,69,1.0,,0.01,0.6900000000000001
2011-03-15,46,1.0,,0.01,0.46
2011-03-16,71,1.0,,0.01,0.71
2011-03-17,100,1.0,,0.01,1.0
2011-03-18,67,1.0,,0.01,0.67
2011-03-19,58,1.0,,0.01,0.58
2011-03-20,23,1.0,,0.01,0.23
2011-03-21,35,1.0,,0.01,0.35000000000000003
2011-03-22,52,1.0,,0.01,0.52
2011-03-23,69,1.0,,0.01,0.6900000000000001
2011-03-24,27,1.0,,0.01,0.27
2011-03-25,83,1.0,,0.01,0.8300000000000001
2011-03-26,56,1.0,,0.01,0.56
2011-03-27,23,1.0,,0.01,0.23
2011-03-28,43,1.0,,0.01,0.43
2011-03-29,78,1.0,,0.01,0.78
2011-03-30,78,1.0,,0.01,0.78
2011-03-31,18,1.0,,0.01,0.18
2011-04-01,39,1.0,False,0.01,0.39
2011-04-02,62,1.0,,0.01,0.62
2011-04-03,49,1.0,,0.01,0.49
2011-04-04,74,1.0,,0.01,0.74
2011-04-05,55,1.0,,0.01,0.55
2011-04-06,65,1.0,,0.01,0.65
2011-04-07,57,1.0,,0.01,0.5700000000000001
2011-04-08,20,1.0,,0.01,0.2
2011-04-09,37,1.0,,0.01,0.37
2011-04-10,25,1.0,,0.01,0.25
2011-04-11,65,1.0,,0.01,0.65
2011-04-12,36,1.0,,0.01,0.36
2011-04-13,56,1.0,,0.01,0.56
2011-04-14,19,1.0,,0.01,0.19
2011-04-15,58,1.0,,0.01,0.58
2011-04-16,36,1.0,,0.01,0.36
2011-04-17,25,1.0,,0.01,0.25
2011-04-18,56,1.0,,0.01,0.56
2011-04-19,45,1.0,,0.01,0.45
2011-04-20,47,1.0,,0.01,0.47000000000000003
2011-04-21,77,1.0,,0.01,0.77
2011-04-22,21,1.0,,0.01,0.21
2011-04-23,50,1.0,,0.01,0.5
2011-04-24,39,1.0,,0.01,0.39
2011-04-25,95,1.0,,0.01,0.9500000000000001
2011-04-26,82,1.0,,0.01,0.8200000000000001
2011-04-27,73,1.0,,0.01,0.73
2011-04-28,64,1.0,,0.01,0.64
2011-04-29,39,1.0,,0.01,0.39
2011-04-30,100,1.0,,0.01,1.0
2011-05-01,0,1.0,False,0.01,0.0
2011-05-02,64,1.0,,0.01,0.64
2011-05-03,57,1.0,,0.01,0.5700000000000001
2011-05-04,41,1.0,,0.01,0.41000000000000003
2011-05-05,78,1.0,,0.01,0.78
2011-05-06,36,1.0,,0.01,0.36
2011-05-07,68,1.0,,0.01,0.68
2011-05-08,23,1.0,,0.01,0.23
2011-05-09,68,1.0,,0.01,0.68
2011-05-10,67,1.0,,0.01,0.67
2011-05-11,51,1.0,,0.01,0.51
2011-05-12,68,1.0,,0.01,0.68
2011-05-13,27,1.0,,0.01,0.27
2011-05-14,34,1.0,,0.01,0.34
2011-05-15,76,1.0,,0.01,0.76
2011-05-16,25,1.0,,0.01,0.25
2011-05-17,50,1.0,,0.01,0.5
2011-05-18,100,1.0,,0.01,1.0
2011-05-19,86,1.0,,0.01,0.86
2011-05-20,62,1.0,,0.01,0.62
2011-05-21,56,1.0,,0.01,0.56
2011-05-22,46,1.0,,0.01,0.46
2011-05-23,50,1.0,,0.01,0.5
2011-05-24,25,1.0,,0.01,0.25
2011-05-25,76,1.0,,0.01,0.76
2011-05-26,34,1.0,,0.01,0.34
2011-05-27,56,1.0,,0.01,0.56
2011-05-28,60,1.0,,0.01,0.6
2011-05-29,74,1.0,,0.01,0.74
2011-05-30,79,1.0,,0.01,0.79
2011-05-31,17,1.0,,0.01,0.17
2011-06-01,48,1.0,False,0.01,0.48
2011-06-02,30,1.0,,0.01,0.3
2011-06-03,32,1.0,,0.01,0.32
2011-06-04,33,1.0,,0.01,0.33
2011-06-05,0,1.0,,0.01,0.0
2011-06-06,43,1.0,,0.01,0.43
2011-06-07,54,1.0,,0.01,0.54
2011-06-08,12,1.0,,0.01,0.12
2011-06-09,25,1.0,,0.01,0.25
2011-06-10,19,1.0,,0.01,0.19
2011-06-11,32,1.0,,0.01,0.32
2011-06-12,25,1.0,,0.01,0.25
2011-06-13,37,1.0,,0.01,0.37
2011-06-14,18,1.0,,0.01,0.18
2011-06-15,37,1.0,,0.01,0.37
